电信组播,#genre#
CDTV-8,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.22:1252
SCTV-2,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.101:5140
SCTV-3,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.102:5140
SCTV-4,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.47:5140
SCTV-5,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.166:5140
SCTV-6,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.144:5140
SCTV-7,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.219:5140
SCTV-科教,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.44:5140
四川乡村,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.52:5140
上海纪实,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.137:5140
金鹰纪实,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.130:5140
CETV1,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.111:5140
熊猫新闻,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.112:5140
熊猫体娱,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.94:5140
熊猫少儿,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.189:5140
熊猫影院,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.214:5140
睛彩四川,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.126:5140
成都体育,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.224:1281
熊猫频道,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.211:9148
金熊猫卡通,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.172:5140
炫动卡通,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.173:5140
嘉佳卡通,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.246:5140
收视导视,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.39:5140
熊猫爱生活,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.190:5140
大爱四川,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.110:5140
大爱旅游,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.70:5140
大爱生活,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.71:5140
大爱时尚,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.72:5140
HD看电影,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.47:5140
家政频道,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.48:5140
CETV2,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.113:5140
CETV4,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.50:5140
经典电影,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.57:9024
华语影院,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.138:5140
星光院线,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.139:5140
全球大片,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.105:5140
热播剧场,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.56:9020
热门剧场,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.140:5140
港剧风云,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.143:5140
谍战剧场,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.95:5140
卡酷动画,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.208:5140
金鹰卡通,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.108:5140
优漫卡通,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.251:5140
宝宝动画,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.147:5140
少儿动画,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.193:9000
青春动漫,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.146:5140
热门综艺,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.151:5140
音乐现场,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.198:9044
戏曲精选,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.144:5140
戏曲,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.217:9208
魅力时尚,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.190:9012
生活时尚,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.106:5140
生活时尚,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.29:5140
爱生活,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.206:8028
汽摩,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.62:5140
财富天下,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.116:9136
